"name","ID"
"occupation",""
"Management, professional, and related occupations","1"
"Management, business, and financial operations occupations","1.1"
"Business and financial operations occupations","1.1.2"
"Management occupations","1.1.1"
"Professional and related occupations","1.2"
"Architecture and engineering occupations","1.2.2"
"Arts, design, entertainment, sports, and media occupations","1.2.7"
"Community and social service occupations","1.2.4"
"Computer and mathematical occupations","1.2.1"
"Education, training, and library occupations","1.2.6"
"Healthcare practitioners and technical occupations","1.2.8"
"Legal occupations","1.2.5"
"Life, physical, and social science occupations","1.2.3"
"Natural resources, construction, and maintenance occupations","4"
"Construction and extraction occupations","4.2"
"Farming, fishing, and forestry occupations","4.1"
"Installation, maintenance, and repair occupations","4.3"
"Production, transportation, and material moving occupations","5"
"Production occupations","5.1"
"Transportation and material moving occupations","5.2"
"Sales and office occupations","3"
"Office and administrative support occupations","3.2"
"Sales and related occupations","3.1"
"Service occupations","2"
"Building and grounds cleaning and maintenance occupations","2.4"
"Food preparation and serving related occupations","2.3"
"Healthcare support occupations","2.1"
"Personal care and service occupations","2.5"
"Protective service occupations","2.2"
